  Dados detalhados das AIH - por local internação - Pernambuco
Valor aprovado por Procedimento e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Procedimento";"1995/Ago";"1999/Ago";"2000/Jan";"2000/Set";"2001/Jan";"2002/Mar";"2003/Jan";"2005/Mai";"2006/Set";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Abr";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"0201010143 BIOPSIA DE ENDOCARDIO / MIOCARDIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;709,26;-;-;-;-;709,26;709,26;-;-;-;3546,30;8511,12;6383,34;1418,52;709,26;2837,04;1418,52;1418,52;1418,52;2127,78;1418,52;2127,78;2837,04;4036,75;486,56;-;625,49;2127,78;2837,04;5674,08;7092,60;6383,34;2837,04;5674,08;7801,86;4964,82;12766,68;4964,82;5674,08;9220,38;12057,42;7801,86;8511,12;14894,46;7092,60;7092,60;10638,90;8511,12;9220,38;7092,60;7801,86;8511,12;14894,46;10638,90;16312,98;12057,42;12766,68;19859,28;12766,68;14185,20;14185,20;13475,94;13475,94;9929,64;11348,16;14185,20;13378,02;10638,90;14894,46;12766,68;7092,60;10638,90;7843,19;7801,86;9929,64;13475,94;7092,60;10638,90;11348,16;8511,12;12766,68;14185,20;12057,42;14894,46;13475,94;10597,65;11909,22;10638,90;9195,93;4255,56;2127,78;1418,52;2837,04;7736,16;4964,82;14095,05;9220,38;8437,77;6342,09;4255,56;5674,08;747912,34
"0201010160 BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68,55;137,10;137,10;68,55;137,10;68,55;-;-;68,55;68,55;-;-;-;85,69;-;-;-;-;-;-;-;-;-;85,69;85,69;-;-;85,69;-;85,69;-;-;-;171,38;-;-;85,69;85,69;171,38;-;-;85,69;-;171,38;-;85,69;-;-;171,38;85,69;257,07;85,69;85,69;85,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73,16;-;-;-;85,69;-;-;-;-;-;85,69;85,69;80,89;87,37;-;-;78,54;-;-;-;-;-;-;85,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;257,07;342,76;85,69;-;-;-;-;-;-;-;-;-;-;-;81,73;-;-;85,69;114,19;85,69;-;-;342,76;-;4954,60
"0201010178 BIOPSIA DE EPIDIDIMO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36,95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;138,57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;387,99;92,38;831,42;-;2087,78;-;46,19;-;46,19;-;-;-;-;-;-;46,19;-;-;46,19;-;-;-;-;-;-;-;-;-;-;-;46,19;-;-;-;-;46,19;-;3907,65
"0201010186 BIOPSIA DE ESCLERA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109,78
"0201010194 BIOPSIA DE FARINGE/LARINGE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;130,48;109,96;19,06;19,06;-;57,18;19,06;-;-;-;-;-;-;-;-;19,06;-;-;19,06;-;-;-;-;-;-;19,06;19,06;-;-;19,06;-;-;-;-;19,06;-;-;-;19,06;-;19,06;-;-;41,93;-;57,18;19,06;19,06;38,12;19,06;19,06;47,65;19,06;-;19,06;19,06;-;-;-;19,06;38,12;19,06;-;-;-;-;19,06;-;-;-;-;-;19,06;19,06;-;-;-;38,12;-;19,06;-;-;-;-;-;19,06;-;-;76,24;76,24;19,06;19,06;19,06;-;-;-;19,06;-;19,06;19,06;-;38,12;-;-;-;28,59;23,82;-;38,12;-;19,06;19,06;-;23,82;19,06;42,88;19,06;-;57,18;38,12;-;-;57,18;57,18;95,30;312,58;285,90;285,90;247,78;95,30;266,84;228,72;200,13;327,83;266,84;209,66;162,01;38,12;42,88;-;19,06;19,06;95,30;66,71;76,24;57,18;80,05;28,59;19,06;-;5310,37
"0201010208 BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;158,07;-;131,55;-;-;-;-;129,70;399,18;1309,14;882,26;197,59;740,48;644,67;798,48;640,61;945,38;617,79;482,37;986,71;669,85;971,12;815,73;309,03;476,38;791,25;159,70;1426,91;835,75;1169,22;1044,15;1024,75;295,62;519,27;1301,86;1330,23;515,33;804,60;917,96;1719,37;1310,81;1226,03;1002,12;162,97;691,76;1695,12;845,47;479,08;825,78;295,73;482,80;808,17;1644,00;450,94;1136,72;537,47;554,88;1284,74;497,33;344,15;948,48;408,91;954,67;1568,56;382,35;161,90;1054,69;556,40;813,77;519,14;740,45;520,30;561,69;493,98;832,83;836,06;159,84;1360,95;634,51;340,50;769,32;1133,10;468,70;749,38;703,59;1412,86;745,02;996,00;520,56;670,42;1493,46;648,48;829,77;554,65;2274,06;1106,73;912,91;780,59;740,01;481,15;1051,20;774,46;919,59;411,39;161,86;377,95;404,93;1111,77;197,59;365,32;-;701,92;886,12;652,08;677,63;520,40;468,18;723,63;159,84;565,98;518,36;233,49;197,59;323,44;849,45;1440,96;727,42;731,38;1371,61;1148,93;1501,51;719,70;700,14;496,28;357,04;1266,22;1014,26;867,94;1216,36;886,02;226,26;1124,79;490,09;670,55;850,56;489,85;415,85;141,08;174,52;172,29;1180,89;1111,09;331,68;159,88;724,53;486,76;1025,80;-;111755,28
"0201010216 BIOPSIA DE FIGADO POR PUNCAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56,92;113,84;284,60;569,20;808,26;455,36;569,20;640,35;569,20;398,44;683,04;455,36;683,04;466,74;71,15;441,13;498,05;725,73;996,10;1650,68;1067,25;1935,28;853,80;1607,99;1309,16;2312,37;1664,91;1138,40;540,74;313,06;611,89;583,43;426,90;284,60;583,43;458,91;369,98;355,75;213,45;71,15;298,83;387,76;480,25;71,15;142,30;156,53;341,52;313,06;441,13;526,51;683,04;540,74;512,28;142,30;444,68;426,90;298,83;369,98;-;313,06;298,83;611,89;441,13;441,13;156,53;313,06;227,68;455,36;227,68;369,98;611,89;640,35;611,89;611,89;142,30;355,75;825,34;241,91;633,23;227,68;263,25;512,27;355,75;348,63;455,36;739,96;604,77;885,81;554,97;426,90;227,68;227,68;398,44;142,30;505,16;426,90;384,21;227,68;458,91;611,89;1113,49;932,06;818,22;761,30;597,66;473,14;1408,77;1302,04;782,65;953,41;704,38;1807,21;1622,21;1764,47;1551,05;1266,45;1280,67;1522,58;2845,98;1931,70;1380,30;1672,00;1223,78;1095,71;1113,49;1252,24;1664,91;1398,09;1586,64;1878,36;1458,57;1117,05;1408,77;1629,33;1209,55;1070,80;3002,51;754,19;875,14;1444,33;1469,23;1294,91;2202,07;1323,39;1415,88;1479,92;1828,55;868,03;1138,40;761,30;462,47;391,31;480,25;213,45;355,75;498,05;658,13;675,92;565,63;373,53;640,35;231,23;213,45;125150,11
"0201010224 BIOPSIA DE GANGLIO LINFATICO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36,95;-;-;73,90;81,29;36,95;-;-;-;138,57;46,19;-;-;46,19;46,19;46,19;92,38;-;46,19;92,38;-;-;46,19;2263,31;92,38;46,19;184,76;92,38;240,18;46,19;757,51;184,76;92,38;193,99;92,38;92,38;138,57;184,76;240,18;184,76;193,99;184,76;101,61;46,19;46,19;286,37;-;92,38;147,80;138,57;240,18;184,76;277,14;184,76;184,76;46,19;92,38;193,99;101,61;46,19;92,38;92,38;-;138,57;193,99;295,61;230,95;-;138,57;103,92;242,49;344,10;-;46,19;138,57;277,14;196,30;57,73;357,96;318,69;92,38;378,75;346,42;309,46;138,57;57,73;230,95;92,38;184,76;254,04;161,66;230,95;115,47;182,43;101,61;184,76;494,22;600,47;831,42;484,99;577,37;196,30;644,33;681,29;1108,56;1163,98;623,56;1408,79;854,51;1478,08;277,14;277,14;1662,84;1073,91;692,85;808,32;1083,14;508,09;1071,60;923,80;600,47;969,99;946,89;771,36;831,42;785,23;646,66;461,90;600,47;554,28;461,90;554,28;230,95;900,70;334,87;277,14;288,68;508,09;427,25;849,88;242,49;803,69;565,82;667,43;184,76;334,87;381,06;323,33;381,06;288,68;438,80;92,38;161,66;346,42;369,52;92,38;52277,76
"0201010232 BIÓPSIA DE GLÂNDULA SALIVAR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28,86;-;-;28,86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31,27;-;-;-;-;-;-;31,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31,27;-;-;-;-;-;-;31,27;-;-;-;-;-;-;-;-;-;-;-;-;-;31,27;-;62,54;-;31,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;339,15
"0201010240 BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUMOR INTRA OCULAR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;199,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;150,96;-;-;-;-;-;-;-;199,21;-;-;-;-;-;-;-;-;-;-;-;199,21;-;-;-;199,21;-;-;-;-;398,42;-;-;-;-;-;-;199,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;199,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1744,64
"0201010259 BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;475,96;-;-;237,98;237,99;-;-;574,96;287,48;287,48;276,86;268,74;287,48;-;574,96;862,44;287,48;-;-;574,96;-;574,96;574,96;-;-;-;-;-;-;-;287,48;-;-;-;-;-;-;-;574,96;287,48;287,48;-;-;-;-;275,53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,48;-;-;287,48;287,48;-;-;-;-;-;-;-;287,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,48;287,48;-;287,48;-;-;-;287,48;287,48;-;-;287,48;287,48;862,44;574,96;574,96;1380,24;287,48;287,48;574,96;287,48;574,96;878,53;-;-;574,96;287,48;1724,88;-;574,96;231,91;287,48;574,96;862,44;-;-;-;287,48;-;-;574,96;574,96;-;-;-;574,96;-;24674,82
